%
% Comments go after a '%' sign.
%
%
% Relation: Dreams
%
%
% Attributes: 12     Instances: 16800
%
%

@relation Dreams

@attribute '0' numeric
@attribute 'Gender' numeric
@attribute 'Male' numeric
@attribute 'Animal' numeric
@attribute 'Friends' numeric
@attribute 'Family' numeric
@attribute 'Dead&Imaginary' numeric
@attribute 'Aggression/Friendliness' numeric
@attribute 'A/CIndex' numeric
@attribute 'F/CIndex' numeric
@attribute 'S/CIndex' numeric
@attribute 'NegativeEmotions' numeric

@data
13548,0.0,0.333333333,0.0,0.166666667,0.25,0.0,1.0,0.033333333300000004,0.0,0.0,1.0
14404,0.0,1.0,0.0,0.111111111,0.0,0.0,0.0,0.0,0.07070707072727274,0.02777777775,0.0
12868,1.0,0.5,0.0,0.333333333,0.666666667,0.0,1.0,0.033333333300000004,0.0,0.0,0.0
20088,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.04000000000000001,0.0,0.0,1.0
3269,1.0,0.857142857,0.136363636,0.105263158,0.105263158,0.0,0.0,0.0045454545,0.012396694181818184,0.0,0.0
14784,0.0,0.75,0.0,0.0,0.142857143,0.0,1.0,0.0714285714,0.0,0.08928571425,1.0
5784,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
6682,1.0,1.0,0.2,0.25,0.25,0.0,0.888888889,0.30000000000000004,0.018181818181818184,0.025,1.0
17045,0.0,1.0,0.0,0.333333333,0.0,0.0,1.0,0.0666666667,0.030303030272727273,0.0,0.0
20394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13005,0.0,0.333333333,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0
17949,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.022727272727272728,0.0,1.0
17947,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.033333333300000004,0.06060606063636364,0.0,1.0
12140,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0
14462,0.0,0.666666667,0.083333333,0.0,0.090909091,0.0,0.5,0.0166666667,0.030303030272727273,0.03125,1.0
608,1.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.4,0.18181818181818182,0.0,1.0
9577,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.033333333300000004,0.06060606063636364,0.0,0.0
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7731,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.025,0.022727272727272728,0.03125,0.333333333
7717,1.0,1.0,0.0,0.5,0.0,0.0,0.333333333,0.05,0.09090909090909091,0.1875,0.0
5940,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333300000004,0.0,0.0,1.0
14984,0.0,1.0,0.2,0.25,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0
2487,1.0,0.0,0.0,0.0,0.25,0.0,0.75,0.125,0.022727272727272728,0.0,0.333333333
16914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15000000000000002,0.0,0.0,1.0
6508,1.0,0.75,0.0,0.125,0.125,0.0,0.857142857,0.07500000000000001,0.011363636363636364,0.0,1.0
9962,1.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0166666667,0.0,0.020833333375,0.0
18004,0.0,0.6,0.0,0.142857143,0.285714286,0.0,1.0,0.0142857143,0.0,0.0,0.0
4505,1.0,0.5,0.052631579,0.055555556,0.277777778,0.0,1.0,0.0105263158,0.0,0.0,1.0
9213,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.06060606063636364,0.0,0.0
16046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4387,1.0,1.0,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.030303030272727273,0.020833333375,0.0
20200,0.0,0.25,0.0,0.2,0.2,0.0,1.0,0.08000000000000002,0.018181818181818184,0.075,1.0
4591,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16162,1.0,0.454545455,0.086956522,0.0,0.238095238,0.0,0.0,0.0043478260999999995,0.0,0.01086956525,0.0
19023,0.0,1.0,0.1,0.333333333,0.222222222,0.0,1.0,0.010000000000000002,0.0,0.0125,0.0
